Past_PatTrans_Meth_Yr_Round,SweepVac,Year,Past_PatTrans_Year,Pasture,Pasture_patch_year,Pasture_patch,Temperature,Winds,OrdinalSamplingDate,HerbYesNo_alltime,TSH,HerbTreat_14-18,GrazingYesNo,GrazingTreat,StartTime,Order,Biomass_mg,Length,Width
KLT_S1_Sweep_2016_2,Sweep,2016,KLT_S_2016,KLT,KLT_S_2016,KLT_S,80,1,211,No,,,No,None,12.58,orth,147.0192607,28,
PYS_N2_Sweep_2017_2,Sweep,2017,PYS_N_2017,PYS,PYS_N_2017,PYS_N,95,0,201,No,,,Yes,SLS,10.87,orth,147.0192607,28,
PYS_W1_Vacuum_2016_1,Vacuum,2016,PYS_W_2016,PYS,PYS_W_2016,PYS_W,78,1,186,No,,,Yes,SLS,4.8,lepi_la,146.9052062,16,15
KLT_E2_Sweep_2016_1,Sweep,2016,KLT_E_2016,KLT,KLT_E_2016,KLT_E,70,1,183,No,,,No,None,10.73,orth,140.4169786,27.5,
PAW_S1_Sweep_2016_1,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,86,0,179,No,,,No,None,14.15,orth,140.4169786,27.5,
GIL_N2_Sweep_2016_2,Sweep,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,80,4,198,Yes,1.5,Spr,Yes,IES,14.23,orth,133.9981657,27,
STE_S1_Sweep_2016_2,Sweep,2016,STE_S_2016,STE,STE_S_2016,STE_S,85,1,218,Yes,0.5,Spr,Yes,SLS,14.08,orth,133.9981657,27,
RNR_W1_Sweep_2017_2,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,204,Yes,1.5,,No,None,12.08,orth,133.9981657,27,
RNR_W2_Sweep_2017_1,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,178,Yes,1.5,,No,None,11.92,orth,133.9981657,27,
KLN_C1_Sweep_2016_2,Sweep,2016,KLN_C_2016,KLN,KLN_C_2016,KLN_C,75,8,204,No,,,Yes,IES,10.9,orth,133.9981657,27,
RIN_S1_Sweep_2017_2,Sweep,2017,RIN_S_2017,RIN,RIN_S_2017,RIN_S,75,4,206,No,,,No,None,10.7,orth,133.9981657,27,
RNR_E2_Sweep_2017_1,Sweep,2017,RNR_E_2017,RNR,RNR_E_2017,RNR_E,80,0,178,No,,,No,None,13.5,orth,133.9981657,27,
GIL_C2_Sweep_2016_1,Sweep,2016,GIL_C_2016,GIL,GIL_C_2016,GIL_C,94,4,177,Yes,1.5,SnS,Yes,IES,12.17,orth,127.7609797,26.5,
KLT_S1_Sweep_2017_2,Sweep,2017,KLT_S_2017,KLT,KLT_S_2017,KLT_S,95,1,203,No,,,No,None,12.25,orth,127.7609797,26.5,
RNR_W2_Sweep_2015_2,Sweep,2015,RNR_W_2015,RNR,RNR_W_2015,RNR_W,80,0,214,Yes,1.5,,No,None,12.07,orth,121.7035628,26,
RNR_W2_Sweep_2016_2,Sweep,2016,RNR_W_2016,RNR,RNR_W_2016,RNR_W,85,4,213,Yes,0.5,,No,None,12.52,orth,121.7035628,26,
PAW_S1_Sweep_2016_2,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,90,1,217,No,,,No,None,12.25,orth,121.7035628,26,
RIN_E2_Sweep_2016_2,Sweep,2016,RIN_E_2016,RIN,RIN_E_2016,RIN_E,85,0,207,No,,,No,None,11.53,orth,121.7035628,26,
RIN_S1_Sweep_2016_1,Sweep,2016,RIN_S_2016,RIN,RIN_S_2016,RIN_S,80,1,176,No,,,No,None,11.57,orth,121.7035628,26,
RIN_S1_Sweep_2017_2,Sweep,2017,RIN_S_2017,RIN,RIN_S_2017,RIN_S,75,4,206,No,,,No,None,10.7,orth,121.7035628,26,
RIN_W2_Sweep_2016_2,Sweep,2016,RIN_W_2016,RIN,RIN_W_2016,RIN_W,85,0,207,No,,,No,None,12.33,orth,121.7035628,26,
GIL_N2_Sweep_2016_2,Sweep,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,80,4,198,Yes,1.5,Spr,Yes,IES,14.23,orth,115.8240415,25.5,
RC2_N1_Sweep_2017_2,Sweep,2017,RC2_N_2017,RC2,RC2_N_2017,RC2_N,75,4,206,Yes,2.5,SnS,No,None,13.02,lepi_la,110.4430503,44,4.5
RNR_W1_Sweep_2017_2,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,204,Yes,1.5,,No,None,12.08,orth,110.1205259,25,
RIS_S_W_Sweep_2016_2,Sweep,2016,RIS_S_2016,RIS,RIS_S_2016,RIS_S,,,,No,,,Yes,SLS,0,orth,110.1205259,25,
BSH_N1_Sweep_2016_2,Sweep,2016,BSH_N_2016,BSH,BSH_N_2016,BSH_N,80,0,217,No,,Con,No,None,11.75,orth,110.1205259,25,
GIL_N2_Sweep_2016_2,Sweep,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,80,4,198,Yes,1.5,Spr,Yes,IES,14.23,orth,104.5911095,24.5,
STE_S1_Sweep_2016_2,Sweep,2016,STE_S_2016,STE,STE_S_2016,STE_S,85,1,218,Yes,0.5,Spr,Yes,SLS,14.08,orth,99.23386827,24,
PYS_S1_Sweep_2016_1,Sweep,2016,PYS_S_2016,PYS,PYS_S_2016,PYS_S,82,0,182,No,,,Yes,SLS,9.83,orth,99.23386827,24,
RIN_E1_Sweep_2016_2,Sweep,2016,RIN_E_2016,RIN,RIN_E_2016,RIN_E,85,0,207,No,,,No,None,11.18,orth,99.23386827,24,
RIE_E2_Sweep_2016_2,Sweep,2016,RIE_E_2016,RIE,RIE_E_2016,RIE_E,95,1,206,Yes,0.5,,No,None,15.2,lepi_la,95.88552288,12,15
KLT_S1_Vacuum_2016_2,Vacuum,2016,KLT_S_2016,KLT,KLT_S_2016,KLT_S,80,1,211,No,,,No,None,12.58,orth,94.04686074,23.5,
PYW_N1_Vacuum_2015_1,Vacuum,2015,PYW_N_2015,PYW,PYW_N_2015,PYW_N,,,,Yes,0.5,SnS,Yes,SLS,,cole_ad,90.03838801,15,9
GIL_N1_Sweep_2016_2,Sweep,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,80,4,198,Yes,1.5,Spr,Yes,IES,14.67,orth,89.02812698,23,
GIL_C1_Sweep_2016_2,Sweep,2016,GIL_C_2016,GIL,GIL_C_2016,GIL_C,80,4,198,Yes,1.5,SnS,Yes,IES,13.95,orth,89.02812698,23,
RNR_W1_Sweep_2017_2,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,204,Yes,1.5,,No,None,12.08,orth,89.02812698,23,
RNR_W2_Vacuum_2015_2,Vacuum,2015,RNR_W_2015,RNR,RNR_W_2015,RNR_W,80,0,214,Yes,1.5,,No,None,12.07,orth,89.02812698,23,
RC2_C2_Sweep_2017_2,Sweep,2017,RC2_C_2017,RC2,RC2_C_2017,RC2_C,75,4,206,Yes,2.5,Spr,No,None,12.37,orth,84.17568823,22.5,
STE_S2_Sweep_2017_2,Sweep,2017,STE_S_2017,STE,STE_S_2017,STE_S,85,4,202,Yes,1.5,Spr,Yes,SLS,9.97,orth,84.17568823,22.5,
RIE_W1_Sweep_2016_1,Sweep,2016,RIE_W_2016,RIE,RIE_W_2016,RIE_W,80,4,176,Yes,0.5,,No,None,13.58,orth,84.17568823,22.5,
KLT_S1_Vacuum_2016_2,Vacuum,2016,KLT_S_2016,KLT,KLT_S_2016,KLT_S,80,1,211,No,,,No,None,12.58,orth,84.17568823,22.5,
RNR_C2_Vacuum_2016_1,Vacuum,2016,RNR_C_2016,RNR,RNR_C_2016,RNR_C,80,4,187,No,,,No,None,12.33,orth,84.17568823,22.5,
GIL_N1_Sweep_2016_1,Sweep,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,94,4,177,Yes,1.5,Spr,Yes,IES,11.68,lepi_la,82.01526309,27,6
STE_S2_Sweep_2017_2,Sweep,2017,STE_S_2017,STE,STE_S_2017,STE_S,85,4,202,Yes,1.5,Spr,Yes,SLS,9.97,orth,79.48754627,22,
RNR_W1_Sweep_2017_2,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,204,Yes,1.5,,No,None,12.08,orth,79.48754627,22,
RIE_W2_Sweep_2016_1,Sweep,2016,RIE_W_2016,RIE,RIE_W_2016,RIE_W,80,4,176,Yes,0.5,,No,None,13.18,orth,79.48754627,22,
RNR_W1_Sweep_2016_2,Sweep,2016,RNR_W_2016,RNR,RNR_W_2016,RNR_W,85,4,213,Yes,0.5,,No,None,12.15,orth,79.48754627,22,
PAW_S1_Sweep_2016_1,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,86,0,179,No,,,No,None,14.15,orth,79.48754627,22,
PYS_S1_Sweep_2016_1,Sweep,2016,PYS_S_2016,PYS,PYS_S_2016,PYS_S,82,0,182,No,,,Yes,SLS,9.83,orth,79.48754627,22,
RIS_C2_Sweep_2016_1,Sweep,2016,RIS_C_2016,RIS,RIS_C_2016,RIS_C,90,1,188,No,,,Yes,SLS,15.55,orth,79.48754627,22,
RIS_C2_Vacuum_2016_1,Vacuum,2016,RIS_C_2016,RIS,RIS_C_2016,RIS_C,90,1,188,No,,,Yes,SLS,15.55,orth,79.48754627,22,
RIS_N2_Sweep_2016_2,Sweep,2016,RIS_N_2016,RIS,RIS_N_2016,RIS_N,88,4,218,No,,,Yes,SLS,15.17,orth,79.48754627,22,
RC2_S1_Sweep_2016_1,Sweep,2016,RC2_S_2016,RC2,RC2_S_2016,RC2_S,90,0,182,No,1.5,Con,No,None,13.47,orth,79.48754627,22,
STE_N2_Sweep_2017_2,Sweep,2017,STE_N2_2017,STE,STE_N2_2017,STE_N,85,4,202,No,1.5,Con,Yes,SLS,9.05,orth,79.48754627,22,
RC2_S2_Vacuum_2015_2,Vacuum,2015,RC2_S_2015,RC2,RC2_S_2015,RC2_S,90,0,210,No,0.5,Con,No,None,13,orth,79.48754627,22,6
BSH_N2_Sweep_2016_2,Sweep,2016,BSH_N_2016,BSH,BSH_N_2016,BSH_N,80,0,217,No,,Con,No,None,12.07,orth,79.48754627,22,
RNR_W2_Sweep_2017_1,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,178,Yes,1.5,,No,None,11.92,orth,74.96168282,21.5,
KLT_S2_Sweep_2016_2,Sweep,2016,KLT_S_2016,KLT,KLT_S_2016,KLT_S,80,1,211,No,,,No,None,12.97,orth,74.96168282,21.5,
RNR_C2_Sweep_2017_1,Sweep,2017,RNR_C_2017,RNR,RNR_C_2017,RNR_C,80,0,178,No,,,No,None,11.08,orth,74.96168282,21.5,
RNR_E2_Sweep_2015_2,Sweep,2015,RNR_E_2015,RNR,RNR_E_2015,RNR_E,80,0,214,No,,,No,None,12.67,orth,74.96168282,21.5,
RC2_S2_Sweep_2017_2,Sweep,2017,RC2_S_2017,RC2,RC2_S_2017,RC2_S,75,4,206,No,2.5,Con,No,None,12.07,orth,74.96168282,21.5,
PYW_S1_Sweep_2016_2,Sweep,2016,PYW_S_2016,PYW,PYW_S_2016,PYW_S,95,0,206,No,1.5,Con,Yes,SLS,11.53,orth,74.96168282,21.5,
BSH_S1_Sweep_2017_1,Sweep,2017,BSH_S_2017,BSH,BSH_S_2017,BSH_S,75,13,169,Yes,2.5,SnS,No,None,12.95,lepi_la,73.16902247,30,5
RIE_N1_Sweep_2016_1,Sweep,2016,RIE_N_2016,RIE,RIE_N_2016,RIE_N,82,0,175,Yes,0.5,,No,None,12.48,lepi_la,72.08655091,33,4.5
KLN_E1_Sweep_2017_2,Sweep,2017,KLN_E_2017,KLN,KLN_E_2017,KLN_E,80,1,199,No,,,Yes,IES,10.77,lepi_la,72.08655091,33,4.5
RNR_E1_Sweep_2016_1,Sweep,2016,RNR_E_2016,RNR,RNR_E_2016,RNR_E,98,1,187,No,,,No,None,12.13,lepi_la,72.08655091,33,4.5
235_S1_Sweep_2016_1,Sweep,2016,235_S2_2016,235,235_S2_2016,235_S2,85,0,179,Yes,0.5,SnS,Yes,SLS,12.53,orth,70.59605882,21,
RIE_N2_Sweep_2016_2,Sweep,2016,RIE_N_2016,RIE,RIE_N_2016,RIE_N,80,1,210,Yes,0.5,,No,None,10.22,orth,70.59605882,21,
RNR_W1_Sweep_2016_2,Sweep,2016,RNR_W_2016,RNR,RNR_W_2016,RNR_W,85,4,213,Yes,0.5,,No,None,12.15,orth,70.59605882,21,
KLT_S1_Sweep_2016_2,Sweep,2016,KLT_S_2016,KLT,KLT_S_2016,KLT_S,80,1,211,No,,,No,None,12.58,orth,70.59605882,21,
PAW_E1_Sweep_2016_2,Sweep,2016,PAW_E_2016,PAW,PAW_E_2016,PAW_E,90,1,217,No,,,No,None,11.37,orth,70.59605882,21,
PAW_S1_Sweep_2016_2,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,90,1,217,No,,,No,None,12.25,orth,70.59605882,21,
PYS_N1_Sweep_2016_2,Sweep,2016,PYS_N_2016,PYS,PYS_N_2016,PYS_N,80,4,202,No,,,Yes,SLS,11.2,orth,70.59605882,21,
RIN_E2_Sweep_2017_2,Sweep,2017,RIN_E_2017,RIN,RIN_E_2017,RIN_E,75,4,206,No,,,No,None,9.82,orth,70.59605882,21,
RNR_C2_Sweep_2017_1,Sweep,2017,RNR_C_2017,RNR,RNR_C_2017,RNR_C,80,0,178,No,,,No,None,11.08,orth,70.59605882,21,
STE_W1_Sweep_2015_1,Sweep,2015,STE_W_2015,STE,STE_W_2015,STE_W,80,1,174,No,,Con,Yes,SLS,12.28,orth,70.59605882,21,
RC2_S2_Vacuum_2016_2,Vacuum,2016,RC2_S_2016,RC2,RC2_S_2016,RC2_S,104,4,202,No,1.5,Con,No,None,12.85,orth,70.59605882,21,
RNR_W1_Vacuum_2016_2,Vacuum,2016,RNR_W_2016,RNR,RNR_W_2016,RNR_W,85,4,213,Yes,0.5,,No,None,12.15,lepi_ad,69.51898585,22,5
RCH2014_C2_Vacuum_2015_2,Vacuum,2015,RCH2014_C_2015,RCH2014,RCH2014_C_2015,RCH2014_C,85,0,205,No,,Con,Yes,SLS,10.68,lepi_ad,69.51898585,22,5
235_C2_Vacuum_2016_2,Vacuum,2016,235_C_2016,235,235_C_2016,235_C,85,4,208,Yes,2.5,SnS,Yes,SLS,11.05,orth,66.38861377,20.5,
LTR_E1_Vacuum_2017_2,Vacuum,2017,LTR_E_2017,LTR,LTR_E_2017,LTR_E,80,1,194,Yes,2.5,SnS,Yes,IES,14.1,orth,66.38861377,20.5,
RNR_W1_Sweep_2015_1,Sweep,2015,RNR_W_2015,RNR,RNR_W_2015,RNR_W,80,4,184,Yes,1.5,,No,None,13.33,orth,66.38861377,20.5,
RNR_W1_Sweep_2017_2,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,204,Yes,1.5,,No,None,12.08,orth,66.38861377,20.5,
PAW_E2_Sweep_2015_2,Sweep,2015,PAW_E_2015,PAW,PAW_E_2015,PAW_E,75,1,219,No,,,No,None,11,orth,66.38861377,20.5,
RIN_S2_Sweep_2017_1,Sweep,2017,RIN_S_2017,RIN,RIN_S_2017,RIN_S,85,1,167,No,,,No,None,10.52,orth,66.38861377,20.5,
RC2_S1_Sweep_2017_2,Sweep,2017,RC2_S_2017,RC2,RC2_S_2017,RC2_S,75,4,206,No,2.5,Con,No,None,11.85,orth,66.38861377,20.5,
RIE_W1_Sweep_2016_2,Sweep,2016,RIE_W_2016,RIE,RIE_W_2016,RIE_W,95,1,206,Yes,0.5,,No,None,14.6,lepi_ad,64.96315287,21,5
RCH2014_C2_Vacuum_unk_2015,Vacuum,2015,RCH2014_C_2015,RCH2014,RCH2014_C_2015,RCH2014_C,,,,No,,Con,Yes,SLS,0,lepi_ad,64.96315287,21,5
RNR_E1_Sweep_2016_2,Sweep,2016,RNR_E_2016,RNR,RNR_E_2016,RNR_E,80,4,213,No,,,No,None,10.47,aran,62.52943867,13.5,
DUN_C2_Sweep_2016_2,Sweep,2016,DUN_C_2016,DUN,DUN_C_2016,DUN_C,95,4,217,No,1.5,Con,No,None,14.58,aran,62.52943867,13.5,
235_C1_Sweep_2017_1,Sweep,2017,235_C_2017,235,235_C_2017,235_C,80,8,175,Yes,3.5,SnS,Yes,SLS,13.02,orth,62.33726495,20,
RNR_W2_Sweep_2015_2,Sweep,2015,RNR_W_2015,RNR,RNR_W_2015,RNR_W,80,0,214,Yes,1.5,,No,None,12.07,orth,62.33726495,20,
RIE_N1_Sweep_2016_1,Sweep,2016,RIE_N_2016,RIE,RIE_N_2016,RIE_N,82,0,175,Yes,0.5,,No,None,12.48,orth,62.33726495,20,
KLT_E1_Sweep_2015_2,Sweep,2015,KLT_E_2015,KLT,KLT_E_2015,KLT_E,80,1,193,No,,,No,None,11.1,orth,62.33726495,20,
PAW_E2_Sweep_2015_1,Sweep,2015,PAW_E_2015,PAW,PAW_E_2015,PAW_E,80,1,181,No,,,No,None,16.53,orth,62.33726495,20,
PAW_E2_Sweep_2016_1,Sweep,2016,PAW_E_2016,PAW,PAW_E_2016,PAW_E,90,0,179,No,,,No,None,11.87,orth,62.33726495,20,
PAW_W2_Sweep_2016_2,Sweep,2016,PAW_W_2016,PAW,PAW_W_2016,PAW_W,90,1,217,No,,,No,None,10.62,orth,62.33726495,20,
PYS_W2_Sweep_2016_2,Sweep,2016,PYS_W_2016,PYS,PYS_W_2016,PYS_W,80,4,202,No,,,Yes,SLS,10.55,orth,62.33726495,20,
RNR_C2_Sweep_2016_1,Sweep,2016,RNR_C_2016,RNR,RNR_C_2016,RNR_C,80,4,187,No,,,No,None,12.33,orth,62.33726495,20,
RNR_E1_Sweep_2015_2,Sweep,2015,RNR_E_2015,RNR,RNR_E_2015,RNR_E,80,0,214,No,,,No,None,10.5,orth,62.33726495,20,
PYW_S1_Vacuum_2017_1,Vacuum,2017,PYW_S_2017,PYW,PYW_S_2017,PYW_S,80,4,173,No,2.5,Con,Yes,SLS,11.35,orth,62.33726495,20,
PYW_S2_Vacuum_2017_1,Vacuum,2017,PYW_S_2017,PYW,PYW_S_2017,PYW_S,80,4,173,No,2.5,Con,Yes,SLS,11.6,orth,62.33726495,20,
RC2_S1_Sweep_2017_2,Sweep,2017,RC2_S_2017,RC2,RC2_S_2017,RC2_S,75,4,206,No,2.5,Con,No,None,11.85,orth,62.33726495,20,
STE_N2_Sweep_2017_2,Sweep,2017,STE_N2_2017,STE,STE_N2_2017,STE_N,85,4,202,No,1.5,Con,Yes,SLS,9.05,orth,62.33726495,20,
STE_N2_Sweep_2016_2,Sweep,2016,STE_N2_2016,STE,STE_N2_2016,STE_N,85,1,218,No,0.5,Con,Yes,SLS,16.27,orth,62.33726495,20,
BSH_N1_Sweep_2017_2,Sweep,2017,BSH_N_2017,BSH,BSH_N_2017,BSH_N,85,1,199,No,,Con,No,None,11.5,orth,62.33726495,20,
BSH_N2_Sweep_2017_1,Sweep,2017,BSH_N_2017,BSH,BSH_N_2017,BSH_N,75,13,169,No,,Con,No,None,11.7,orth,62.33726495,20,
RCH2014_E1_Sweep_2015_2,Sweep,2015,RCH2014_E_2015,RCH2014,RCH2014_E_2015,RCH2014_E,85,0,205,No,,Con,Yes,SLS,10.3,orth,62.33726495,20,4
235_N1_Sweep_2017_1,Sweep,2017,235_N_2017,235,235_N_2017,235_N,80,8,175,Yes,2.5,SnS,Yes,SLS,12.45,lepi_la,61.8985295,33.5,4
GIL_N1_Sweep_2016_2,Sweep,2016,GIL_N_2016,GIL,GIL_N_2016,GIL_N,80,4,198,Yes,1.5,Spr,Yes,IES,14.67,orth,58.43990667,19.5,
LTR_C2_Sweep_2016_2,Sweep,2016,LTR_C_2016,LTR,LTR_C_2016,LTR_C,75,0,198,Yes,1.5,Spr,Yes,IES,10.68,orth,58.43990667,19.5,
RC2_C2_Sweep_2016_1,Sweep,2016,RC2_C_2016,RC2,RC2_C_2016,RC2_C,75,0,183,Yes,1.5,Spr,No,None,15,orth,58.43990667,19.5,
235_N2_Vacuum_2017_2,Vacuum,2017,235_N_2017,235,235_N_2017,235_N,75,1,205,Yes,2.5,SnS,Yes,SLS,10.43,orth,58.43990667,19.5,
235_S1_Sweep_2017_2,Sweep,2017,235_S2_2017,235,235_S2_2017,235_S2,75,1,205,Yes,1.5,SnS,Yes,SLS,11.62,orth,58.43990667,19.5,
RIE_E1_Sweep_2016_2,Sweep,2016,RIE_E_2016,RIE,RIE_E_2016,RIE_E,95,1,206,Yes,0.5,,No,None,14.6,orth,58.43990667,19.5,
KLT_E1_Sweep_2016_1,Sweep,2016,KLT_E_2016,KLT,KLT_E_2016,KLT_E,70,1,183,No,,,No,None,11.1,orth,58.43990667,19.5,
RIN_E1_Sweep_2017_2,Sweep,2017,RIN_E_2017,RIN,RIN_E_2017,RIN_E,75,4,206,No,,,No,None,9.57,orth,58.43990667,19.5,
RIN_S2_Sweep_2015_2,Sweep,2015,RIN_S_2015,RIN,RIN_S_2015,RIN_S,80,0,204,No,,,No,None,11.03,orth,58.43990667,19.5,
RIS_C_E_Sweep_2016_2,Sweep,2016,RIS_C_2016,RIS,RIS_C_2016,RIS_C,,,,No,,,Yes,SLS,0,orth,58.43990667,19.5,
RCH2014_C1_Vacuum_2017_1,Vacuum,2017,RCH2014_C_2017,RCH2014,RCH2014_C_2017,RCH2014_C,80,1,174,Yes,1.5,SnS,Yes,SLS,11.32,lepi_la,58.00066876,28.5,4.5
RNR_C1_Vacuum_2015_2,Vacuum,2015,RNR_C_2015,RNR,RNR_C_2015,RNR_C,80,0,214,No,,,No,None,11.2,aran,56.38645476,13,
RC2_S2_Sweep_2017_2,Sweep,2017,RC2_S_2017,RC2,RC2_S_2017,RC2_S,75,4,206,No,2.5,Con,No,None,12.07,aran,56.38645476,13,
STE_S1_Sweep_2017_2,Sweep,2017,STE_S_2017,STE,STE_S_2017,STE_S,85,4,202,Yes,1.5,Spr,Yes,SLS,10.27,orth,54.69440941,19,
235_S1_Sweep_2016_1,Sweep,2016,235_S2_2016,235,235_S2_2016,235_S2,85,0,179,Yes,0.5,SnS,Yes,SLS,12.53,orth,54.69440941,19,
RNR_W1_Sweep_2017_2,Sweep,2017,RNR_W_2017,RNR,RNR_W_2017,RNR_W,85,0,204,Yes,1.5,,No,None,12.08,orth,54.69440941,19,
PAW_E1_Sweep_2015_2,Sweep,2015,PAW_E_2015,PAW,PAW_E_2015,PAW_E,75,1,215,No,,,No,None,11.83,orth,54.69440941,19,
PAW_S1_Sweep_2016_2,Sweep,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,90,1,217,No,,,No,None,12.25,orth,54.69440941,19,
PAW_S1_Vacuum_2016_2,Vacuum,2016,PAW_S_2016,PAW,PAW_S_2016,PAW_S,90,1,217,No,,,No,None,12.25,orth,54.69440941,19,
PYS_W2_Sweep_2016_2,Sweep,2016,PYS_W_2016,PYS,PYS_W_2016,PYS_W,80,4,202,No,,,Yes,SLS,10.55,orth,54.69440941,19,
RIN_S2_Sweep_2016_1,Sweep,2016,RIN_S_2016,RIN,RIN_S_2016,RIN_S,80,1,176,No,,,No,None,10.37,orth,54.69440941,19,
RIN_S2_Sweep_2017_1,Sweep,2017,RIN_S_2017,RIN,RIN_S_2017,RIN_S,85,1,167,No,,,No,None,10.52,orth,54.69440941,19,
RIN_W1_Sweep_2017_1,Sweep,2017,RIN_W_2017,RIN,RIN_W_2017,RIN_W,85,4,167,No,,,No,None,11.13,orth,54.69440941,19,
RIS_S_W_Sweep_2016_2,Sweep,2016,RIS_S_2016,RIS,RIS_S_2016,RIS_S,,,,No,,,Yes,SLS,0,orth,54.69440941,19,
RNR_E1_Sweep_2017_2,Sweep,2017,RNR_E_2017,RNR,RNR_E_2017,RNR_E,85,0,204,No,,,No,None,10.8,orth,54.69440941,19,
STE_W1_Sweep_2015_1,Sweep,2015,STE_W_2015,STE,STE_W_2015,STE_W,80,1,174,No,,Con,Yes,SLS,12.28,orth,54.69440941,19,
STE_W2_Sweep_2016_2,Sweep,2016,STE_W_2016,STE,STE_W_2016,STE_W,85,4,218,No,0.5,Con,Yes,SLS,16,orth,54.69440941,19,
STE_W2_Vacuum_2016_2,Vacuum,2016,STE_W_2016,STE,STE_W_2016,STE_W,85,4,218,No,0.5,Con,Yes,SLS,16,orth,54.69440941,19,
BSH_N1_Sweep_2017_1,Sweep,2017,BSH_N_2017,BSH,BSH_N_2017,BSH_N,75,13,169,No,,Con,No,None,11.47,orth,54.69440941,19,
LTR_W1_Vacuum_2017_1,Vacuum,2017,LTR_W_2017,LTR,LTR_W_2017,LTR_W,67,1,158,No,,Con,Yes,IES,10.02,lepi_la,53.85866009,30.5,4
RC2_C1_Sweep_2016_1,Sweep,2016,RC2_C_2016,RC2,RC2_C_2016,RC2_C,75,0,183,Yes,1.5,Spr,No,None,14.53,orth,51.0986189,18.5,
235_S1_Sweep_2017_2,Sweep,2017,235_S2_2017,235,235_S2_2017,235_S2,75,1,205,Yes,1.5,SnS,Yes,SLS,11.62,orth,51.0986189,18.5,
RIN_E1_Sweep_2017_2,Sweep,2017,RIN_E_2017,RIN,RIN_E_2017,RIN_E,75,4,206,No,,,No,None,9.57,orth,51.0986189,18.5,
