Past_PatTrans_Meth_Yr_Round,Pasture,Patch,Past_Pat,Past_Pat_Yr,Past_PatTrans,Past_PatTrans_Method,SweepVac,Round,Year,StartTime,Temp,Winds,OrdinalSamplingDate,Hemipterans,Hoppers,Zoophages,Phytophage,Hymenoptera,Dipt,Aphi,Penta,Heteroptera,Past_Pat_ImageYear,Fescue,Robel,Forb,WSG,Legume,Woody,Bare,Litter,Litter_Depth,HerbProp,CropProp,TreeProp,WaterProp,ImpSurProp,Tree_kmHa,ImageYear,Herb_ha,Crop_ha,ImpSur_ha,Tree_ha,Tree_mHa,Water_ha,FireTreat,TSF,HerbExp_14-18,HerbTreat_14-18,HerbYesNo_alltime,TSH,GrazingTreat,GrazingYesNo,Cole_Ad,Lepi_Ad,Lepi_La,Cole_La,Orth,Aran
235_C1_Vacuum_2017_1,235,C,235_C,235_C_2017,235_C1,235_C1_Vacuum,Vacuum,1,2017,13.02,80,8,175,37,28,0,37,12,8,0,0,9,235_C_2016.17,15.13333333,2.166666667,20.2,13.43333333,16.86666667,0.1,14.63333333,82.9,1.833333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,1,Yes,SnS,Yes,3.5,SLS,Yes,4,2,0,0,72,5
235_C1_Vacuum_2017_2,235,C,235_C,235_C_2017,235_C1,235_C1_Vacuum,Vacuum,2,2017,10.67,75,1,205,14,9,0,14,27,1,0,0,5,235_C_2016.17,15.13333333,2.166666667,20.2,13.43333333,16.86666667,0.1,14.63333333,82.9,1.833333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,1,Yes,SnS,Yes,3.5,SLS,Yes,2,0,2,0,20,7
235_C2_Sweep_2015_1,235,C,235_C,235_C_2015,235_C2,235_C2_Sweep,Sweep,1,2015,12.67,75,1,180,76,31,2,74,3,30,0,2,45,235_C_2016.17,14.36666667,2.033333333,38.7,1.266666667,27.56666667,0.266666667,43.4,45.5,0.35,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,2,0,1,0,13,9
235_C2_Sweep_2015_2,235,C,235_C,235_C_2015,235_C2,235_C2_Sweep,Sweep,2,2015,14.38,80,1,211,43,13,0,43,6,16,0,0,30,235_C_2016.17,14.36666667,2.033333333,38.7,1.266666667,27.56666667,0.266666667,43.4,45.5,0.35,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,0,0,1,0,15,13
235_C2_Sweep_2016_1,235,C,235_C,235_C_2016,235_C2,235_C2_Sweep,Sweep,1,2016,12.97,85,0,179,65,55,0,65,2,18,0,7,10,235_C_2016.17,15.7,1.133333333,23.56666667,12.76666667,17.1,0.1,29.7,53.86666667,0.908333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,4,0,0,0,45,7
235_C2_Sweep_2016_2,235,C,235_C,235_C_2016,235_C2,235_C2_Sweep,Sweep,2,2016,11.05,85,4,208,32,27,1,31,32,9,0,0,5,235_C_2016.17,15.7,1.133333333,23.56666667,12.76666667,17.1,0.1,29.7,53.86666667,0.908333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,5,0,0,0,87,14
235_C2_Sweep_2017_1,235,C,235_C,235_C_2017,235_C2,235_C2_Sweep,Sweep,1,2017,13.22,80,8,175,118,108,0,118,13,22,0,0,11,235_C_2016.17,15.13333333,2.166666667,20.2,13.43333333,16.86666667,0.1,14.63333333,82.9,1.833333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,1,Yes,SnS,Yes,3.5,SLS,Yes,10,1,0,0,89,12
235_C2_Sweep_2017_2,235,C,235_C,235_C_2017,235_C2,235_C2_Sweep,Sweep,2,2017,11.08,75,1,205,34,27,1,33,95,16,0,2,8,235_C_2016.17,15.13333333,2.166666667,20.2,13.43333333,16.86666667,0.1,14.63333333,82.9,1.833333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,1,Yes,SnS,Yes,3.5,SLS,Yes,3,2,0,0,149,8
235_C2_Vacuum_2015_1,235,C,235_C,235_C_2015,235_C2,235_C2_Vacuum,Vacuum,1,2015,12.67,75,1,180,132,77,1,131,5,55,0,1,55,235_C_2016.17,14.36666667,2.033333333,38.7,1.266666667,27.56666667,0.266666667,43.4,45.5,0.35,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,4,1,5,0,38,11
235_C2_Vacuum_2015_2,235,C,235_C,235_C_2015,235_C2,235_C2_Vacuum,Vacuum,2,2015,14.38,80,1,211,31,14,1,30,3,13,0,0,17,235_C_2016.17,14.36666667,2.033333333,38.7,1.266666667,27.56666667,0.266666667,43.4,45.5,0.35,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,1,0,1,0,7,3
235_C2_Vacuum_2016_1,235,C,235_C,235_C_2016,235_C2,235_C2_Vacuum,Vacuum,1,2016,12.97,85,0,179,233,208,3,230,6,12,0,0,30,235_C_2016.17,15.7,1.133333333,23.56666667,12.76666667,17.1,0.1,29.7,53.86666667,0.908333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,8,0,5,0,123,11
235_C2_Vacuum_2016_2,235,C,235_C,235_C_2016,235_C2,235_C2_Vacuum,Vacuum,2,2016,11.05,85,4,208,41,36,1,40,9,6,0,1,5,235_C_2016.17,15.7,1.133333333,23.56666667,12.76666667,17.1,0.1,29.7,53.86666667,0.908333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,1,0,0,0,23,8
235_C2_Vacuum_2017_1,235,C,235_C,235_C_2017,235_C2,235_C2_Vacuum,Vacuum,1,2017,13.22,80,8,175,23,16,0,23,6,8,0,1,8,235_C_2016.17,15.13333333,2.166666667,20.2,13.43333333,16.86666667,0.1,14.63333333,82.9,1.833333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,1,Yes,SnS,Yes,3.5,SLS,Yes,3,0,1,0,87,13
235_C2_Vacuum_2017_2,235,C,235_C,235_C_2017,235_C2,235_C2_Vacuum,Vacuum,2,2017,11.08,75,1,205,26,23,0,26,4,4,0,0,4,235_C_2016.17,15.13333333,2.166666667,20.2,13.43333333,16.86666667,0.1,14.63333333,82.9,1.833333333,0.824232227,0.110402345,0.040647823,0.012511233,0.012206371,0.954518061,2016.17,472.8722041,63.33918839,7.002945691,23.32015781,954.5180609,7.177849099,PB,1,Yes,SnS,Yes,3.5,SLS,Yes,0,1,0,0,9,6
235_N1_Sweep_2015_1,235,N,235_N,235_N_2015,235_N1,235_N1_Sweep,Sweep,1,2015,11.93,75,1,180,32,23,0,32,18,7,0,0,10,235_N_2016.17,1.9,2.666666667,74.36666667,2.6,21.36666667,0,71.93333333,21.73333333,0.033333333,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,5,0,1,0,14,8
235_N1_Sweep_2015_2,235,N,235_N,235_N_2015,235_N1,235_N1_Sweep,Sweep,2,2015,11.2,80,1,211,59,18,2,57,35,24,0,0,41,235_N_2016.17,1.9,2.666666667,74.36666667,2.6,21.36666667,0,71.93333333,21.73333333,0.033333333,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,3,1,1,1,8,14
235_N1_Sweep_2016_1,235,N,235_N,235_N_2016,235_N1,235_N1_Sweep,Sweep,1,2016,14.03,85,0,179,140,58,0,140,65,41,0,2,82,235_N_2016.17,0.4,2.033333333,60.9,6.9,13.13333333,0,19.43333333,64.7,0.891666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,13,1,3,0,87,9
235_N1_Sweep_2016_2,235,N,235_N,235_N_2016,235_N1,235_N1_Sweep,Sweep,2,2016,11.83,85,4,208,122,91,4,118,130,17,0,3,32,235_N_2016.17,0.4,2.033333333,60.9,6.9,13.13333333,0,19.43333333,64.7,0.891666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,9,2,0,0,248,28
235_N1_Sweep_2017_1,235,N,235_N,235_N_2017,235_N1,235_N1_Sweep,Sweep,1,2017,12.45,80,8,175,99,88,0,99,34,15,0,1,11,235_N_2016.17,3.566666667,3,48.3,12.86666667,21.96666667,0.033333333,71.76666667,24,0.316666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,25,1,6,0,113,10
235_N1_Sweep_2017_2,235,N,235_N,235_N_2017,235_N1,235_N1_Sweep,Sweep,2,2017,10.15,75,1,205,82,59,0,82,221,15,0,4,24,235_N_2016.17,3.566666667,3,48.3,12.86666667,21.96666667,0.033333333,71.76666667,24,0.316666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,8,2,1,0,89,22
235_N1_Vacuum_2015_1,235,N,235_N,235_N_2015,235_N1,235_N1_Vacuum,Vacuum,1,2015,11.93,75,1,180,110,71,2,108,16,48,1,0,38,235_N_2016.17,1.9,2.666666667,74.36666667,2.6,21.36666667,0,71.93333333,21.73333333,0.033333333,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,3,5,4,0,14,12
235_N1_Vacuum_2015_2,235,N,235_N,235_N_2015,235_N1,235_N1_Vacuum,Vacuum,2,2015,11.2,80,1,211,84,35,0,84,21,38,0,0,49,235_N_2016.17,1.9,2.666666667,74.36666667,2.6,21.36666667,0,71.93333333,21.73333333,0.033333333,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,2,1,0,0,2,14
235_N1_Vacuum_2016_1,235,N,235_N,235_N_2016,235_N1,235_N1_Vacuum,Vacuum,1,2016,14.03,85,0,179,158,68,2,156,2,12,1,3,90,235_N_2016.17,0.4,2.033333333,60.9,6.9,13.13333333,0,19.43333333,64.7,0.891666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,3,0,0,0,54,3
235_N1_Vacuum_2016_2,235,N,235_N,235_N_2016,235_N1,235_N1_Vacuum,Vacuum,2,2016,11.83,85,4,208,21,17,0,21,10,2,0,0,4,235_N_2016.17,0.4,2.033333333,60.9,6.9,13.13333333,0,19.43333333,64.7,0.891666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,1,1,0,0,12,5
235_N1_Vacuum_2017_1,235,N,235_N,235_N_2017,235_N1,235_N1_Vacuum,Vacuum,1,2017,12.45,80,8,175,34,26,0,34,14,6,0,0,9,235_N_2016.17,3.566666667,3,48.3,12.86666667,21.96666667,0.033333333,71.76666667,24,0.316666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,6,4,0,0,79,6
235_N1_Vacuum_2017_2,235,N,235_N,235_N_2017,235_N1,235_N1_Vacuum,Vacuum,2,2017,10.15,75,1,205,18,15,0,18,37,2,0,0,3,235_N_2016.17,3.566666667,3,48.3,12.86666667,21.96666667,0.033333333,71.76666667,24,0.316666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,0,1,0,0,6,5
235_N2_Sweep_2015_1,235,N,235_N,235_N_2015,235_N2,235_N2_Sweep,Sweep,1,2015,11.58,75,1,180,63,58,2,61,10,15,0,0,5,235_N_2016.17,1.9,2.666666667,74.36666667,2.6,21.36666667,0,71.93333333,21.73333333,0.033333333,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,4,5,3,0,19,13
235_N2_Sweep_2015_2,235,N,235_N,235_N_2015,235_N2,235_N2_Sweep,Sweep,2,2015,11.62,80,1,211,100,52,1,99,60,26,0,1,51,235_N_2016.17,1.9,2.666666667,74.36666667,2.6,21.36666667,0,71.93333333,21.73333333,0.033333333,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,7,1,9,0,28,11
235_N2_Sweep_2016_1,235,N,235_N,235_N_2016,235_N2,235_N2_Sweep,Sweep,1,2016,13.67,85,0,179,204,93,0,204,21,17,1,2,110,235_N_2016.17,0.4,2.033333333,60.9,6.9,13.13333333,0,19.43333333,64.7,0.891666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,15,2,1,1,140,17
235_N2_Sweep_2016_2,235,N,235_N,235_N_2016,235_N2,235_N2_Sweep,Sweep,2,2016,11.47,85,4,208,70,48,1,69,49,3,0,1,22,235_N_2016.17,0.4,2.033333333,60.9,6.9,13.13333333,0,19.43333333,64.7,0.891666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,8,0,3,0,139,24
235_N2_Sweep_2017_1,235,N,235_N,235_N_2017,235_N2,235_N2_Sweep,Sweep,1,2017,12.7,80,8,175,110,109,0,110,19,19,0,0,2,235_N_2016.17,3.566666667,3,48.3,12.86666667,21.96666667,0.033333333,71.76666667,24,0.316666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,14,1,8,0,89,6
235_N2_Sweep_2017_2,235,N,235_N,235_N_2017,235_N2,235_N2_Sweep,Sweep,2,2017,10.43,75,1,205,151,126,0,151,150,43,1,0,27,235_N_2016.17,3.566666667,3,48.3,12.86666667,21.96666667,0.033333333,71.76666667,24,0.316666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,13,1,8,0,195,23
235_N2_Vacuum_2015_1,235,N,235_N,235_N_2015,235_N2,235_N2_Vacuum,Vacuum,1,2015,11.58,75,1,180,46,11,4,42,25,15,0,0,37,235_N_2016.17,1.9,2.666666667,74.36666667,2.6,21.36666667,0,71.93333333,21.73333333,0.033333333,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,5,3,2,0,22,19
235_N2_Vacuum_2015_2,235,N,235_N,235_N_2015,235_N2,235_N2_Vacuum,Vacuum,2,2015,11.62,80,1,211,32,13,3,29,15,0,0,0,19,235_N_2016.17,1.9,2.666666667,74.36666667,2.6,21.36666667,0,71.93333333,21.73333333,0.033333333,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,8,0,1,0,2,9
235_N2_Vacuum_2016_1,235,N,235_N,235_N_2016,235_N2,235_N2_Vacuum,Vacuum,1,2016,13.67,85,0,179,90,57,0,90,7,13,2,0,31,235_N_2016.17,0.4,2.033333333,60.9,6.9,13.13333333,0,19.43333333,64.7,0.891666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,5,1,3,0,68,9
235_N2_Vacuum_2016_2,235,N,235_N,235_N_2016,235_N2,235_N2_Vacuum,Vacuum,2,2016,11.47,85,4,208,49,42,0,49,34,4,0,0,7,235_N_2016.17,0.4,2.033333333,60.9,6.9,13.13333333,0,19.43333333,64.7,0.891666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,2,Yes,SnS,Yes,1.5,SLS,Yes,1,0,3,2,23,14
235_N2_Vacuum_2017_1,235,N,235_N,235_N_2017,235_N2,235_N2_Vacuum,Vacuum,1,2017,12.7,80,8,175,52,36,1,51,6,9,0,0,19,235_N_2016.17,3.566666667,3,48.3,12.86666667,21.96666667,0.033333333,71.76666667,24,0.316666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,3,0,3,0,41,11
235_N2_Vacuum_2017_2,235,N,235_N,235_N_2017,235_N2,235_N2_Vacuum,Vacuum,2,2017,10.43,75,1,205,65,52,0,65,13,3,0,1,13,235_N_2016.17,3.566666667,3,48.3,12.86666667,21.96666667,0.033333333,71.76666667,24,0.316666667,0.834455317,0.09137029,0.041372652,0.015296114,0.017505627,0.980022832,2016.17,475.3492713,52.04928278,9.97211828,23.5680202,980.0228321,8.713464411,PB,0,Yes,SnS,Yes,2.5,SLS,Yes,1,1,1,0,9,3
235_S1_Sweep_2015_1,235,S,235_S,235_S_2015,235_S1,235_S1_Sweep,Sweep,1,2015,11.15,75,1,180,66,50,0,66,17,17,0,1,17,235_S_2016.17,12.36666667,2.966666667,34.43333333,3.233333333,25.1,0,56.03333333,3.4,0.033333333,0.737955426,0.173702555,0.062606179,0.016016931,0.009718909,0.841010288,2016.17,475.435119,111.9095979,6.261503482,40.33465298,841.0102879,10.31906695,PB,0,Yes,Con,No,0.5,SLS,Yes,2,0,1,0,10,5
235_S1_Sweep_2015_2,235,S,235_S,235_S_2015,235_S1,235_S1_Sweep,Sweep,2,2015,12,80,1,211,22,18,0,22,42,10,0,0,4,235_S_2016.17,12.36666667,2.966666667,34.43333333,3.233333333,25.1,0,56.03333333,3.4,0.033333333,0.737955426,0.173702555,0.062606179,0.016016931,0.009718909,0.841010288,2016.17,475.435119,111.9095979,6.261503482,40.33465298,841.0102879,10.31906695,PB,0,Yes,Con,No,0.5,SLS,Yes,0,0,0,0,2,4
235_S1_Sweep_2016_1,235,S,235_S,235_S2_2016,235_S2,235_S1_Sweep,Sweep,1,2016,12.53,85,0,179,273,96,1,272,36,19,1,1,184,235_S_2016.17,0,3.866666667,73.53333333,1.266666667,9.6,0,27.26666667,62.2,0.383333333,0.737955426,0.173702555,0.062606179,0.016016931,0.009718909,0.841010288,2016.17,475.435119,111.9095979,6.261503482,40.33465298,841.0102879,10.31906695,PB,1,Yes,SnS,Yes,0.5,SLS,Yes,14,3,8,0,19,8
